"repo","category","purpose","stars","last_activity","language","license","maturity","build_status","test_status","data_model_quality","browser_ready","server_ready","DXF","DWG","SVG","PDF","3D","schematic","topology","panel_layout","routing","component_library","AI","integration_effort","commercial_license_risk","what_to_reuse","what_to_learn","why_not_use","tier","notes"
"qelectrotech/qelectrotech-source-mirror","electrical-schematic","Qt desktop electrical CAD core","546","2026-09-15","C++","GPL-2.0","production-adjacent","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","yes","unknown","M","review / copyleft or provenance","Qt desktop electrical CAD core","Source mirror; strong domain semantics but desktop/Qt integration.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Source mirror; strong domain semantics but desktop/Qt integration."
"qelectrotech/qelectrotech-elements","electrical-library","QElectroTech symbol/element library","56","2026-09-14","XML","GPL-2.0","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","yes","unknown","M-H","review / copyleft or provenance","QElectroTech symbol/element library","Element XML is useful as an import source; verify per-file headers.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Element XML is useful as an import source; verify per-file headers."
"NovaShang/sldeditor","electrical-schematic","Browser single-line diagram editor","14","2026-09-13","JavaScript","MIT","production-adjacent","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","M","low","Browser single-line diagram editor","Build and tests observed by parent agent; narrow SLD scope.","Still requires domain adapter and deterministic validation","A","Checked 2026-09-15 via GitHub page/commits.atom; Build and tests observed by parent agent; narrow SLD scope."
"KiCad/kicad-source-mirror","electrical-schematic","Full open-source PCB/EDA application","3.0k","2026-09-15","C++","GPL-3.0","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","yes","unknown","yes","yes","unknown","unknown","yes","unknown","M-H","review / copyleft or provenance","Full open-source PCB/EDA application","Excellent model/reference; GPL core makes direct embedding unsuitable.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Excellent model/reference; GPL core makes direct embedding unsuitable."
"KiCad/kicad-symbols","electrical-library","KiCad symbol library","765","2020-10-02","KiCad symbols","KiCad library terms","mature/reference","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","yes","unknown","M-H","low","KiCad symbol library","Use as import/reference after license review; repository activity timestamp is mirror metadata.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Use as import/reference after license review; repository activity timestamp is mirror metadata."
"KiCad/kicad-footprints","electrical-library","PCB footprint library","688","2020-10-02","KiCad footprint","KiCad library terms","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","H","low","PCB footprint library","Useful footprint dimensions; not cabinet/DIN semantics.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Useful footprint dimensions; not cabinet/DIN semantics."
"KiCad/kicad-packages3D","3d-library","KiCad STEP/VRML package models","511","2020-10-02","3D assets","KiCad library terms","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","yes","unknown","H","low","KiCad STEP/VRML package models","Model provenance and redistribution terms need per-file checks.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Model provenance and redistribution terms need per-file checks."
"LibrePCB/LibrePCB","electrical-schematic","Modern project-based EDA","3.0k","2026-09-07","C++/Qt","GPL-3.0","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","yes","unknown","yes","yes","unknown","unknown","yes","unknown","M-H","review / copyleft or provenance","Modern project-based EDA","Good library/project separation; desktop GPL application.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Good library/project separation; desktop GPL application."
"FidoCadJ/FidoCadJ","electrical-schematic","Lightweight schematic/vector editor","140","2026-09-01","Java","GPL-3.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Lightweight schematic/vector editor","Simple textual format; not a panel model.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Simple textual format; not a panel model."
"manufino/eSchema","electrical-schematic","Web electrical schematic prototype","4","2026-07-18","JavaScript","GPL-3.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Web electrical schematic prototype","Small/experimental; inspect for ideas only.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Small/experimental; inspect for ideas only."
"StefanSchippers/xschem","electrical-schematic","Hierarchical schematic capture","493","2026-09-15","C","GPL-2.0","mature/reference","source/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","yes","unknown","M-H","review / copyleft or provenance","Hierarchical schematic capture","Mature net connectivity; Tcl/Tk desktop assumptions.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Mature net connectivity; Tcl/Tk desktop assumptions."
"TinyTapeout/xschem-viewer","electrical-schematic","Web viewer for xschem plots","35","2025-12-14","TypeScript","Apache-2.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","yes","yes","unknown","unknown","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","H","low","Web viewer for xschem plots","Viewer, not an editor or panel engine.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Viewer, not an editor or panel engine."
